token_name,default_value,source_file,tier,source_tier,formula,namespace,category,concept,property,component,element,variant,state,scale,mode,collisions,line,disposition,unmatched_segments
$system-color-blue-cool-blue-cool-vivid-5,#e1f3f8,packages/uswds-core/src/styles/tokens/color/_blue-cool.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-cool,,,,,,5,vivid,color:category/property,1,design-token,blue cool
$system-color-blue-cool-blue-cool-vivid-10,#c3ebfa,packages/uswds-core/src/styles/tokens/color/_blue-cool.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-cool,,,,,,10,vivid,color:category/property,1,design-token,blue cool
$system-color-blue-cool-blue-cool-vivid-20,#97d4ea,packages/uswds-core/src/styles/tokens/color/_blue-cool.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-cool,,,,,,20,vivid,color:category/property,1,design-token,blue cool
$system-color-blue-cool-blue-cool-vivid-30,#59b9de,packages/uswds-core/src/styles/tokens/color/_blue-cool.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-cool,,,,,,30,vivid,color:category/property,1,design-token,blue cool
$system-color-blue-cool-blue-cool-vivid-40,#28a0cb,packages/uswds-core/src/styles/tokens/color/_blue-cool.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-cool,,,,,,40,vivid,color:category/property,1,design-token,blue cool
$system-color-blue-cool-blue-cool-vivid-50,#0d7ea2,packages/uswds-core/src/styles/tokens/color/_blue-cool.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-cool,,,,,,50,vivid,color:category/property,1,design-token,blue cool
$system-color-blue-cool-blue-cool-vivid-60,#07648d,packages/uswds-core/src/styles/tokens/color/_blue-cool.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-cool,,,,,,60,vivid,color:category/property,1,design-token,blue cool
$system-color-blue-cool-blue-cool-vivid-70,#074b69,packages/uswds-core/src/styles/tokens/color/_blue-cool.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-cool,,,,,,70,vivid,color:category/property,1,design-token,blue cool
$system-color-blue-cool-blue-cool-vivid-80,#002d3f,packages/uswds-core/src/styles/tokens/color/_blue-cool.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-cool,,,,,,80,vivid,color:category/property,1,design-token,blue cool
$system-color-blue-cool-blue-cool-vivid-90,false,packages/uswds-core/src/styles/tokens/color/_blue-cool.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-cool,,,,,,90,vivid,color:category/property,1,design-token,blue cool
$system-color-blue-warm,"( ""blue-warm"": ( 5: #ecf1f7, 10: #e1e7f1, 20: #bbcae4, 30: #98afd2, 40: #7292c7, 50: #4a77b4, 60: #345d96, 70: #2f4668, 80: #252f3e, 90: #13171f, ""vivid"": ( 5: #edf5ff, 10: #d4e5ff, 20: #adcdff, 30: #81aefc, 40: #5994f6, 50: #2672de, 60: #0050d8, 70: #1a4480, 80: #162e51, 90: false, ), ), )",packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept,system,color,blue-warm,,,,,,,,color:category/property,1,design-token|map-container,
$system-color-blue-warm-blue-warm-5,#ecf1f7,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,5,,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-10,#e1e7f1,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,10,,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-20,#bbcae4,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,20,,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-30,#98afd2,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,30,,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-40,#7292c7,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,40,,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-50,#4a77b4,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,50,,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-60,#345d96,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,60,,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-70,#2f4668,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,70,,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-80,#252f3e,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,80,,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-90,#13171f,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale,system,color,blue-warm,,,,,,90,,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-vivid-5,#edf5ff,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-warm,,,,,,5,vivid,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-vivid-10,#d4e5ff,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-warm,,,,,,10,vivid,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-vivid-20,#adcdff,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-warm,,,,,,20,vivid,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-vivid-30,#81aefc,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-warm,,,,,,30,vivid,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-vivid-40,#5994f6,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-warm,,,,,,40,vivid,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-vivid-50,#2672de,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-warm,,,,,,50,vivid,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-vivid-60,#0050d8,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-warm,,,,,,60,vivid,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-vivid-70,#1a4480,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-warm,,,,,,70,vivid,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-vivid-80,#162e51,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-warm,,,,,,80,vivid,color:category/property,1,design-token,blue warm
$system-color-blue-warm-blue-warm-vivid-90,false,packages/uswds-core/src/styles/tokens/color/_blue-warm.scss,system,system,namespace.category.concept.scale.mode,system,color,blue-warm,,,,,,90,vivid,color:category/property,1,design-token,blue warm
$system-color-blue,"( ""blue"": ( 5: #eff6fb, 10: #d9e8f6, 20: #aacdec, 30: #73b3e7, 40: #4f97d1, 50: #2378c3, 60: #2c608a, 70: #274863, 80: #1f303e, 90: #11181d, ""vivid"": ( 5: #e8f5ff, 10: #cfe8ff, 20: #a1d3ff, 30: #58b4ff, 40: #2491ff, 50: #0076d6, 60: #005ea2, 70: #0b4778, 80: #112f4e, 90: false, ), ), )",packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept,system,color,blue,,,,,,,,color:category/property,1,design-token|map-container,
$system-color-blue-blue-5,#eff6fb,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale,system,color,blue,,,,,,5,,color:category/property,1,design-token,blue
$system-color-blue-blue-10,#d9e8f6,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale,system,color,blue,,,,,,10,,color:category/property,1,design-token,blue
$system-color-blue-blue-20,#aacdec,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale,system,color,blue,,,,,,20,,color:category/property,1,design-token,blue
$system-color-blue-blue-30,#73b3e7,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale,system,color,blue,,,,,,30,,color:category/property,1,design-token,blue
$system-color-blue-blue-40,#4f97d1,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale,system,color,blue,,,,,,40,,color:category/property,1,design-token,blue
$system-color-blue-blue-50,#2378c3,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale,system,color,blue,,,,,,50,,color:category/property,1,design-token,blue
$system-color-blue-blue-60,#2c608a,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale,system,color,blue,,,,,,60,,color:category/property,1,design-token,blue
$system-color-blue-blue-70,#274863,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale,system,color,blue,,,,,,70,,color:category/property,1,design-token,blue
$system-color-blue-blue-80,#1f303e,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale,system,color,blue,,,,,,80,,color:category/property,1,design-token,blue
$system-color-blue-blue-90,#11181d,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale,system,color,blue,,,,,,90,,color:category/property,1,design-token,blue
$system-color-blue-blue-vivid-5,#e8f5ff,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale.mode,system,color,blue,,,,,,5,vivid,color:category/property,1,design-token,blue
$system-color-blue-blue-vivid-10,#cfe8ff,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale.mode,system,color,blue,,,,,,10,vivid,color:category/property,1,design-token,blue
$system-color-blue-blue-vivid-20,#a1d3ff,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale.mode,system,color,blue,,,,,,20,vivid,color:category/property,1,design-token,blue
$system-color-blue-blue-vivid-30,#58b4ff,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale.mode,system,color,blue,,,,,,30,vivid,color:category/property,1,design-token,blue
$system-color-blue-blue-vivid-40,#2491ff,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale.mode,system,color,blue,,,,,,40,vivid,color:category/property,1,design-token,blue
$system-color-blue-blue-vivid-50,#0076d6,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale.mode,system,color,blue,,,,,,50,vivid,color:category/property,1,design-token,blue
$system-color-blue-blue-vivid-60,#005ea2,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale.mode,system,color,blue,,,,,,60,vivid,color:category/property,1,design-token,blue
$system-color-blue-blue-vivid-70,#0b4778,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale.mode,system,color,blue,,,,,,70,vivid,color:category/property,1,design-token,blue
$system-color-blue-blue-vivid-80,#112f4e,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale.mode,system,color,blue,,,,,,80,vivid,color:category/property,1,design-token,blue
$system-color-blue-blue-vivid-90,false,packages/uswds-core/src/styles/tokens/color/_blue.scss,system,system,namespace.category.concept.scale.mode,system,color,blue,,,,,,90,vivid,color:category/property,1,design-token,blue
$system-color-cyan,"( ""cyan"": ( 5: #e7f6f8, 10: #ccecf2, 20: #99deea, 30: #5dc0d1, 40: #449dac, 50: #168092, 60: #2a646d, 70: #2c4a4e, 80: #203133, 90: #111819, ""vivid"": ( 5: #e5faff, 10: #a8f2ff, 20: #52daf2, 30: #00bde3, 40: #009ec1, 50: #0081a1, 60: #00687d, 70: #0e4f5c, 80: #093b44, 90: false, ), ), )",packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept,system,color,cyan,,,,,,,,color:category/property,1,design-token|map-container,
$system-color-cyan-cyan-5,#e7f6f8,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale,system,color,cyan,,,,,,5,,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-10,#ccecf2,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale,system,color,cyan,,,,,,10,,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-20,#99deea,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale,system,color,cyan,,,,,,20,,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-30,#5dc0d1,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale,system,color,cyan,,,,,,30,,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-40,#449dac,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale,system,color,cyan,,,,,,40,,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-50,#168092,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale,system,color,cyan,,,,,,50,,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-60,#2a646d,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale,system,color,cyan,,,,,,60,,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-70,#2c4a4e,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale,system,color,cyan,,,,,,70,,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-80,#203133,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale,system,color,cyan,,,,,,80,,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-90,#111819,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale,system,color,cyan,,,,,,90,,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-vivid-5,#e5faff,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale.mode,system,color,cyan,,,,,,5,vivid,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-vivid-10,#a8f2ff,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale.mode,system,color,cyan,,,,,,10,vivid,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-vivid-20,#52daf2,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale.mode,system,color,cyan,,,,,,20,vivid,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-vivid-30,#00bde3,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale.mode,system,color,cyan,,,,,,30,vivid,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-vivid-40,#009ec1,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale.mode,system,color,cyan,,,,,,40,vivid,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-vivid-50,#0081a1,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale.mode,system,color,cyan,,,,,,50,vivid,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-vivid-60,#00687d,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale.mode,system,color,cyan,,,,,,60,vivid,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-vivid-70,#0e4f5c,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale.mode,system,color,cyan,,,,,,70,vivid,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-vivid-80,#093b44,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale.mode,system,color,cyan,,,,,,80,vivid,color:category/property,1,design-token,cyan
$system-color-cyan-cyan-vivid-90,false,packages/uswds-core/src/styles/tokens/color/_cyan.scss,system,system,namespace.category.concept.scale.mode,system,color,cyan,,,,,,90,vivid,color:category/property,1,design-token,cyan
$tokens-color-global,"( ""transparent"": transparent, ""black"": black, ""white"": white, )",packages/uswds-core/src/styles/tokens/color/_global.scss,internal,system,category,,color,,,,,,,,,color:category/property,1,generated-lookup-map|map-container,tokens global
$tokens-color-global-transparent,transparent,packages/uswds-core/src/styles/tokens/color/_global.scss,internal,system,category,,color,,,,,,,,,color:category/property,1,generated-lookup-map,tokens global transparent
$tokens-color-global-black,black,packages/uswds-core/src/styles/tokens/color/_global.scss,internal,system,category,,color,,,,,,,,,color:category/property,1,generated-lookup-map,tokens global black
$tokens-color-global-white,white,packages/uswds-core/src/styles/tokens/color/_global.scss,internal,system,category,,color,,,,,,,,,color:category/property,1,generated-lookup-map,tokens global white
$system-color-gold,"( ""gold"": ( 5: #f5f0e6, 10: #f1e5cd, 20: #dec69a, 30: #c7a97b, 40: #ad8b65, 50: #8e704f, 60: #6b5947, 70: #4d4438, 80: #322d26, 90: #191714, ""vivid"": ( 5: #fef0c8, 10: #ffe396, 20: #ffbe2e, 30: #e5a000, 40: #c2850c, 50: #936f38, 60: #7a591a, 70: #5c410a, 80: #3b2b15, 90: false, ), ), )",packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept,system,color,gold,,,,,,,,color:category/property,1,design-token|map-container,
$system-color-gold-gold-5,#f5f0e6,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale,system,color,gold,,,,,,5,,color:category/property,1,design-token,gold
$system-color-gold-gold-10,#f1e5cd,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale,system,color,gold,,,,,,10,,color:category/property,1,design-token,gold
$system-color-gold-gold-20,#dec69a,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale,system,color,gold,,,,,,20,,color:category/property,1,design-token,gold
$system-color-gold-gold-30,#c7a97b,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale,system,color,gold,,,,,,30,,color:category/property,1,design-token,gold
$system-color-gold-gold-40,#ad8b65,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale,system,color,gold,,,,,,40,,color:category/property,1,design-token,gold
$system-color-gold-gold-50,#8e704f,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale,system,color,gold,,,,,,50,,color:category/property,1,design-token,gold
$system-color-gold-gold-60,#6b5947,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale,system,color,gold,,,,,,60,,color:category/property,1,design-token,gold
$system-color-gold-gold-70,#4d4438,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale,system,color,gold,,,,,,70,,color:category/property,1,design-token,gold
$system-color-gold-gold-80,#322d26,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale,system,color,gold,,,,,,80,,color:category/property,1,design-token,gold
$system-color-gold-gold-90,#191714,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale,system,color,gold,,,,,,90,,color:category/property,1,design-token,gold
$system-color-gold-gold-vivid-5,#fef0c8,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale.mode,system,color,gold,,,,,,5,vivid,color:category/property,1,design-token,gold
$system-color-gold-gold-vivid-10,#ffe396,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale.mode,system,color,gold,,,,,,10,vivid,color:category/property,1,design-token,gold
$system-color-gold-gold-vivid-20,#ffbe2e,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale.mode,system,color,gold,,,,,,20,vivid,color:category/property,1,design-token,gold
$system-color-gold-gold-vivid-30,#e5a000,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale.mode,system,color,gold,,,,,,30,vivid,color:category/property,1,design-token,gold
$system-color-gold-gold-vivid-40,#c2850c,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale.mode,system,color,gold,,,,,,40,vivid,color:category/property,1,design-token,gold
$system-color-gold-gold-vivid-50,#936f38,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale.mode,system,color,gold,,,,,,50,vivid,color:category/property,1,design-token,gold
$system-color-gold-gold-vivid-60,#7a591a,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale.mode,system,color,gold,,,,,,60,vivid,color:category/property,1,design-token,gold
$system-color-gold-gold-vivid-70,#5c410a,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale.mode,system,color,gold,,,,,,70,vivid,color:category/property,1,design-token,gold
$system-color-gold-gold-vivid-80,#3b2b15,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale.mode,system,color,gold,,,,,,80,vivid,color:category/property,1,design-token,gold
$system-color-gold-gold-vivid-90,false,packages/uswds-core/src/styles/tokens/color/_gold.scss,system,system,namespace.category.concept.scale.mode,system,color,gold,,,,,,90,vivid,color:category/property,1,design-token,gold
$system-color-gray-cool,"( ""gray-cool"": ( 1: #fbfcfd, 2: #f7f9fa, 3: #f5f6f7, 4: #f1f3f6, 5: #edeff0, 10: #dfe1e2, 20: #c6cace, 30: #a9aeb1, 40: #8d9297, 50: #71767a, 60: #565c65, 70: #3d4551, 80: #2d2e2f, 90: #1c1d1f, ), )",packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept,system,color,gray-cool,,,,,,,,color:category/property,1,design-token|map-container,
$system-color-gray-cool-gray-cool-1,#fbfcfd,packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,1,,color:category/property,1,design-token,gray cool
$system-color-gray-cool-gray-cool-2,#f7f9fa,packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,2,,color:category/property,1,design-token,gray cool
$system-color-gray-cool-gray-cool-3,#f5f6f7,packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,3,,color:category/property,1,design-token,gray cool
$system-color-gray-cool-gray-cool-4,#f1f3f6,packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,4,,color:category/property,1,design-token,gray cool
$system-color-gray-cool-gray-cool-5,#edeff0,packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,5,,color:category/property,1,design-token,gray cool
$system-color-gray-cool-gray-cool-10,#dfe1e2,packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,10,,color:category/property,1,design-token,gray cool
$system-color-gray-cool-gray-cool-20,#c6cace,packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,20,,color:category/property,1,design-token,gray cool
$system-color-gray-cool-gray-cool-30,#a9aeb1,packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,30,,color:category/property,1,design-token,gray cool
$system-color-gray-cool-gray-cool-40,#8d9297,packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,40,,color:category/property,1,design-token,gray cool
$system-color-gray-cool-gray-cool-50,#71767a,packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,50,,color:category/property,1,design-token,gray cool
$system-color-gray-cool-gray-cool-60,#565c65,packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,60,,color:category/property,1,design-token,gray cool
$system-color-gray-cool-gray-cool-70,#3d4551,packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,70,,color:category/property,1,design-token,gray cool
$system-color-gray-cool-gray-cool-80,#2d2e2f,packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,80,,color:category/property,1,design-token,gray cool
$system-color-gray-cool-gray-cool-90,#1c1d1f,packages/uswds-core/src/styles/tokens/color/_gray-cool.scss,system,system,namespace.category.concept.scale,system,color,gray-cool,,,,,,90,,color:category/property,1,design-token,gray cool
$system-color-gray-warm,"( ""gray-warm"": ( 1: #fcfcfb, 2: #f9f9f7, 3: #f6f6f2, 4: #f5f5f0, 5: #f0f0ec, 10: #e6e6e2, 20: #cac9c0, 30: #afaea2, 40: #929285, 50: #76766a, 60: #5d5d52, 70: #454540, 80: #2e2e2a, 90: #171716, ), )",packages/uswds-core/src/styles/tokens/color/_gray-warm.scss,system,system,namespace.category.concept,system,color,gray-warm,,,,,,,,color:category/property,1,design-token|map-container,
$system-color-gray-warm-gray-warm-1,#fcfcfb,packages/uswds-core/src/styles/tokens/color/_gray-warm.scss,system,system,namespace.category.concept.scale,system,color,gray-warm,,,,,,1,,color:category/property,1,design-token,gray warm
$system-color-gray-warm-gray-warm-2,#f9f9f7,packages/uswds-core/src/styles/tokens/color/_gray-warm.scss,system,system,namespace.category.concept.scale,system,color,gray-warm,,,,,,2,,color:category/property,1,design-token,gray warm
$system-color-gray-warm-gray-warm-3,#f6f6f2,packages/uswds-core/src/styles/tokens/color/_gray-warm.scss,system,system,namespace.category.concept.scale,system,color,gray-warm,,,,,,3,,color:category/property,1,design-token,gray warm
$system-color-gray-warm-gray-warm-4,#f5f5f0,packages/uswds-core/src/styles/tokens/color/_gray-warm.scss,system,system,namespace.category.concept.scale,system,color,gray-warm,,,,,,4,,color:category/property,1,design-token,gray warm
$system-color-gray-warm-gray-warm-5,#f0f0ec,packages/uswds-core/src/styles/tokens/color/_gray-warm.scss,system,system,namespace.category.concept.scale,system,color,gray-warm,,,,,,5,,color:category/property,1,design-token,gray warm
$system-color-gray-warm-gray-warm-10,#e6e6e2,packages/uswds-core/src/styles/tokens/color/_gray-warm.scss,system,system,namespace.category.concept.scale,system,color,gray-warm,,,,,,10,,color:category/property,1,design-token,gray warm
$system-color-gray-warm-gray-warm-20,#cac9c0,packages/uswds-core/src/styles/tokens/color/_gray-warm.scss,system,system,namespace.category.concept.scale,system,color,gray-warm,,,,,,20,,color:category/property,1,design-token,gray warm
$system-color-gray-warm-gray-warm-30,#afaea2,packages/uswds-core/src/styles/tokens/color/_gray-warm.scss,system,system,namespace.category.concept.scale,system,color,gray-warm,,,,,,30,,color:category/property,1,design-token,gray warm
$system-color-gray-warm-gray-warm-40,#929285,packages/uswds-core/src/styles/tokens/color/_gray-warm.scss,system,system,namespace.category.concept.scale,system,color,gray-warm,,,,,,40,,color:category/property,1,design-token,gray warm
$system-color-gray-warm-gray-warm-50,#76766a,packages/uswds-core/src/styles/tokens/color/_gray-warm.scss,system,system,namespace.category.concept.scale,system,color,gray-warm,,,,,,50,,color:category/property,1,design-token,gray warm
